,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
939,Lebanon,LB,2020.0,"10,230","5,463,514",-8.06,0.82,534.1,"44,694",1.71,13.6,0.83,78.3,7.4,5.4,"29,706",-88.8,"-484,939",62.8,26.2,45.3,45.3,63.2,41.0,Asia,UM
940,Lithuania,LT,2020.0,"62,680","2,739,816",-1.04,-0.54,43.7,"-14,777",1.6,9.6,0.78,75.4,3.7,15,"41,002",-5,"-13,588",44.55,14.1,30.0,34.650000000000006,42.95,60.0,Europe,H
941,Luxembourg,LU,2020.0,"2,586","628,615",1.76,0.43,243.1,"2,698",1.62,11.6,0.79,82.6,3.3,7.3,"4,599",13.3,"8,374",83.7,55.8,70.4,69.5,92.4,106.3,Europe,H
942,Malaysia,MY,2020.0,"328,657","33,164,013",1.08,0.93,100.9,"307,098",1.78,14.9,0.86,75.6,6.8,5.6,"186,677",1.5,"50,000",41.8,12.15,27.6,42.0,25.15,66.15,Asia,UM
943,Malta,MT,2020.0,316,"457,270",0.83,0.17,"1,447.10",764,1.49,9.9,0.73,82.8,4.7,8.3,"3,777",6.6,"3,015",69.1,33.9,52.3,56.9,77.2,49.7,Europe,H
944,Mexico,MX,2020.0,"1,943,945","128,092,570",0.35,0.42,65.9,"540,869",1.56,12.7,0.76,71,11.7,8.5,"1,086,094",-0.7,"-94,325",37.1,12.1,25.1375,33.875,31.9125,42.6875,North America,UM
945,Moldova,MD,2020.0,"32,891","3,587,186",-0.76,-0.56,109.1,"-19,933",1.22,8.6,0.59,69.8,14.1,14.1,"50,735",-2,"-7,205",34.4,8.7,22.1,26.8,27.8,27.8,Europe,UM
946,Mongolia,MN,2020.0,"1,553,556","3,168,648",0.98,1.05,2,"33,410",1.95,16.8,0.95,70.8,21,6.3,"19,871",-0.8,"-2,500",35.0,10.1,23.1,34.0,24.0,31.2,Asia,LM
947,Montenegro,ME,2020.0,"13,452","609,786",-0.38,0.11,45.3,671,1.82,11.5,0.89,77.3,3.3,10.4,"6,350",-4.9,"-3,005",39.7,10.9,25.9,31.0,31.9,40.1,Europe,UM
948,Morocco,MA,2020.0,"716,550","36,055,311",0.97,1.15,50.3,"412,940",2.33,18,1.14,73.1,20.2,6.6,"237,635",-1.8,"-63,986",36.3,10.3,23.875,30.725,27.875,33.55,Africa,LM
949,Namibia,,2020.0,"823,290","2,627,111",1.61,1.61,3.2,"42,281",3.07,25.6,1.51,60.7,31,9.5,"24,983",0,0,43.9,17.5,31.3,39.9,38.1,56.1,Africa,UM
950,Nepal,NP,2020.0,"143,351","30,175,326",0.84,1.24,210.5,"375,080",1.96,18,0.95,71.8,26.3,5.6,"168,266",-4,"-121,878",30.9,5.4,18.7,27.0,21.4,21.1,Asia,LM
951,Netherlands,NL,2020.0,"33,893","17,400,890",0.39,0,513.4,3,1.54,9.7,0.75,81.2,3.8,9.7,"168,678",3.9,"68,360",73.9875,36.7875,56.1875,56.0625,78.075,89.125,Europe,H
952,New Zealand,NZ,2020.0,"264,537","4,925,334",1.39,0.59,18.6,"29,031",1.87,12.8,0.91,82.1,3.6,7,"34,219",8,"39,276",73.26666666666667,36.66666666666666,55.73333333333333,65.60000000000001,68.66666666666667,95.7,Oceania,H
953,Nigeria,NG,2020.0,"910,768","213,986,428",2.53,2.55,235,"5,452,593",4.72,34.6,2.29,60.4,59.8,9.1,"1,946,159",-0.2,"-45,204",36.6,27.1,32.0,36.1,28.9,13.3,Africa,LM
954,North Macedonia,MK,2020.0,"25,433","2,125,463",0.13,0.1,83.6,"2,036",1.5,10.6,0.73,76.3,7.7,9.7,"20,552",0.4,816,34.5,8.2,22.0,27.0,27.2,38.4,Europe,UM
955,Norway,NO,2020.0,"304,282","5,381,527",0.44,0.23,17.7,"12,441",1.48,9.8,0.72,83.2,1.7,7.5,"40,538",2.1,"11,331",101.45,38.25,71.19999999999999,91.05,109.675,89.375,Europe,H
956,Oman,OM,2020.0,"309,500","3,624,823",1.93,1.98,11.7,"71,619",2.76,23,1.35,76.4,15.1,3.3,"11,884",-0.4,"-1,555",51.1,20.3,36.3,45.9,47.7,82.7,Asia,H
957,Pakistan,PK,2020.0,"770,875","233,431,156",2.04,2.12,302.8,"4,954,710",3.6,27.4,1.76,69.1,56.6,6.2,"1,446,951",-0.9,"-202,677",23.133333333333336,5.133333333333333,14.5,20.633333333333333,18.133333333333333,29.33333333333333,Asia,LM
958,Panama,PA,2020.0,"74,340","4,210,487",1.32,1.26,56.6,"52,977",2.43,18.6,1.18,77.4,16.9,6,"25,107",0.6,"2,398",57.2,27.4,43.0,56.9,51.5,35.2,North America,UM
959,Paraguay,PY,2020.0,"397,302","7,188,930",1.16,1.17,18.1,"84,104",1.89,16.5,0.92,77.9,24.5,4.8,"34,618",-0.1,-504,31.2,10.1,21.1,25.5,25.4,33.3,South America,UM
960,Peru,PE,2020.0,"1,279,996","31,867,270",1.01,0.68,24.9,"217,972",2.26,17.7,1.1,69.8,10.6,10.9,"346,810",3.2,"103,017",42.6,15.7,29.7,38.0,28.6,31.7,South America,UM
961,Philippines,PH,2020.0,"298,170","110,461,801",2.54,2.18,370.5,"2,402,727",3.46,27.8,1.69,70.8,22,6,"662,051",3.6,"398,187",38.7,17.25,28.45,33.2,25.700000000000003,24.85,Asia,LM
962,Poland,PL,2020.0,"304,255","38,375,246",-0.31,-0.33,126.1,"-124,999",1.39,9.2,0.68,76.3,5,12.4,"477,355",0.1,"4,500",40.14545454545454,15.427272727272726,28.318181818181817,30.61818181818182,33.63636363636363,60.39090909090908,Europe,H
963,Portugal,PT,2020.0,"91,470","10,288,283",-0.25,-0.28,112.5,"-29,131",1.41,8.1,0.69,81.1,2.6,10.9,"112,112",0.3,"3,420",50.6,21.8,36.825,40.9,41.4,49.45,Europe,H
964,Puerto Rico,PR,2020.0,"8,869","3,190,410",-1.55,-0.14,359.7,"-4,441",1.22,7.9,0.59,81.3,6.3,9.3,"29,697",-14.1,"-44,837",70.1,23.6,47.9,66.0,72.1,80.0,North America,H
965,Qatar,QA,2020.0,"11,586","2,447,179",1.44,0.8,211.2,"19,632",1.9,9.5,0.94,79.3,7,1.4,"3,496",6.4,"15,596",64.0,47.3,56.0,53.7,65.7,107.6,Asia,H
966,Romania,RO,2020.0,"229,891","18,986,068",-1.16,-0.63,82.6,"-118,764",1.69,9.4,0.82,74.8,6,15.7,"297,345",-5.3,"-101,022",36.09,9.62,23.44,30.15,31.34,49.11,Europe,UM
967,Saudi Arabia,SA,2020.0,"2,149,690","34,223,743",1.62,1.16,15.9,"397,419",1.99,15,0.97,76.2,12.9,3.4,"115,080",4.6,"158,485",49.03333333333333,12.3,31.46666666666667,38.7,33.96666666666667,97.5,Asia,H
968,Serbia,RS,2020.0,"77,474","6,856,660",-0.8,-0.8,88.5,"-55,158",1.45,9,0.71,73.9,4.9,17,"116,850",0,0,35.9,8.766666666666667,22.933333333333334,25.933333333333334,29.73333333333333,37.7,Europe,UM
969,Singapore,SG,2020.0,709,"5,810,285",0.97,0.54,"8,195.00","31,205",1.14,9.2,0.56,86,1.6,3.8,"22,301",4.3,"25,000",81.1,63.3,72.6,66.8,59.0,89.0,Asia,H
970,Slovenia,SI,2020.0,"20,151","2,102,452",0,-0.16,104.3,"-3,297",1.59,8.7,0.78,81.4,1.5,10.3,"21,617",1.5,"3,237",52.25,16.35,35.099999999999994,41.9,44.55,69.8,Europe,H
971,South Africa,ZA,2020.0,"1,214,470","58,012,938",1.07,1.14,47.8,"658,348",2.42,19.9,1.2,68.2,27.3,8.6,"496,936",-0.7,"-39,158",44.3,18.175,31.825000000000003,33.925,41.375,74.175,Africa,UM
972,Spain,ES,2020.0,"498,980","47,041,387",0.13,-0.33,94.3,"-153,724",1.24,7.2,0.61,82.1,2.5,10.5,"492,930",4.6,"216,244",54.07000000000001,22.95,39.21,43.22,53.57000000000001,69.37,Europe,H
973,Sri Lanka,LK,2020.0,"64,630","21,367,989",0.91,0.81,330.6,"174,025",2.18,14.8,1.06,77.1,6.9,6.6,"141,141",0.9,"19,881",34.3,11.0,23.1,38.6,21.1,22.6,Asia,LM
974,Suriname,SR,2020.0,"156,000","618,093",1.2,0.94,4,"5,783",1.96,15.9,0.95,72.1,30.9,6.5,"4,026",2.6,"1,608",43.1,7.8,26.2,45.8,35.0,22.9,South America,UM
975,Sweden,SE,2020.0,"410,335","10,382,678",0.47,0.14,25.3,"14,890",1.66,10.9,0.8,82.5,2.3,9.5,"98,124",3.2,"33,581",73.175,30.275,52.65,63.7,78.3,89.92500000000001,Europe,H
976,Switzerland,CH,2020.0,"39,997","8,585,698",0.74,0.11,214.7,"9,719",1.52,10,0.73,83.1,3.5,8.9,"76,195",6.3,"53,804",122.56,53.42,89.48,120.16,121.32,120.4,Europe,H
977,Thailand,TH,2020.0,"510,890","69,291,926",0.29,0.28,135.6,"194,975",1.54,10.4,0.75,77.2,6.7,7.6,"524,026",0.1,"4,218",50.85,17.95,35.1,51.15,27.925,31.875,Asia,UM
978,Tunisia,TN,2020.0,"155,360","11,719,458",0.81,0.95,75.4,"110,817",2.06,15.8,1,76.3,12.5,6.3,"74,358",-1.4,"-15,869",28.3,6.4,17.9,26.3,16.6,34.3,Africa,LM
979,Ukraine,UA,2020.0,"579,330","43,508,029",-0.58,-0.81,75.1,"-351,325",1.22,7.7,0.59,71.2,8.4,15.8,"687,808",2.3,"100,000",33.0,9.733333333333333,21.9,26.08888888888889,25.922222222222224,31.21111111111111,Europe,LM
980,United Arab Emirates,AE,2020.0,"83,600","9,792,173",0.69,0.95,117.1,"92,780",1.66,10.9,0.81,79.2,5.3,1.5,"14,308",-2.5,"-24,803",57.875,40.775,49.675,44.5,53.125,79.95,Asia,H
981,United Kingdom,GB,2020.0,"241,930","67,022,855",0.61,0.18,277,"118,606",1.62,10.7,0.79,81.7,3.9,9,"601,510",4.3,"289,367",68.20416666666667,31.041666666666668,50.43333333333334,53.12083333333334,74.45416666666667,92.67916666666667,Europe,H
982,United States,US,2020.0,"9,151,125","331,511,512",--,--,36.2,--,--,--,--,--,--,--,--,--,--,73.5677966101695,46.60508474576271,60.66949152542373,69.15593220338982,73.38305084745764,119.76610169491524,North America,H
983,Uruguay,UY,2020.0,"175,015","3,389,361",0.26,0.35,19.4,"11,834",1.77,12.8,0.87,77.9,8.7,9.3,"31,560",-0.9,"-3,000",51.6,15.3,34.2,40.9,47.1,40.4,South America,H
984,Uzbekistan,UZ,2020.0,"425,400","34,014,838",1.92,1.96,80,"666,372",2.97,24.8,1.43,75.4,19.6,5.2,"175,445",-0.4,"-12,544",26.9,7.6,17.6,22.6,21.6,25.0,Asia,LM
985,Vietnam,VN,2020.0,"310,070","101,745,119",1.04,1.06,328.1,"1,082,359",2.08,16.4,0.98,75,15.4,5.8,"589,513",-0.2,"-24,544",39.05,14.05,27.1,37.8,20.2,27.8,Asia,LM
986,Afghanistan,AF,2021.0,"652,230","37,466,414",2.34,2.35,57.4,"880,860",4.72,36.1,2.3,53.3,106.8,12.6,"470,855",-0.1,"-3,581",27.5,4.3,16.4,19.0,20.2,26.5,Asia,L
987,Albania,AL,2021.0,"27,398","3,088,385",0.24,0.56,112.7,"17,258",1.53,12.9,0.74,79.2,11.1,7.3,"22,450",-3.2,"-10,000",42.1,11.2,27.4,34.4,31.6,27.4,Europe,UM
988,Algeria,DZ,2021.0,"2,381,740","44,741,234",1.78,1.8,18.8,"806,011",3.03,22.4,1.48,77.5,18.9,4.3,"194,254",-0.2,"-8,711",30.5,7.4,19.4,31.0,16.9,23.7,Africa,LM
989,Argentina,AR,2021.0,"2,736,690","45,864,941",0.84,0.84,16.8,"387,005",2.2,15.8,1.06,78.1,9.6,7.4,"337,597",-0.1,"-3,819",39.2,10.6,25.5,29.9,35.2,35.3,South America,UM
990,Armenia,AM,2021.0,"28,203","3,011,609",-0.35,0.2,106.8,"5,935",1.65,11.5,0.79,75.9,12.5,9.5,"28,560",-5.4,"-16,338",32.0,10.3,21.6,24.8,27.9,27.1,Asia,UM
991,Australia,AU,2021.0,"7,682,300","25,809,973",1.31,0.56,3.4,"143,670",1.74,12.4,0.84,82.9,3.1,6.8,"175,048",7.5,"193,350",84.31,41.36,63.8,81.49,78.65,101.7,Oceania,H
992,Austria,AT,2021.0,"82,445","8,884,864",0.32,-0.04,107.8,"-3,274",1.5,9.5,0.73,82.1,3.3,9.9,"87,526",3.6,"31,678",77.525,29.8,54.725,71.125,70.225,76.95,Europe,H
993,Azerbaijan,AZ,2021.0,"82,629","10,513,772",0.44,0.45,127.2,"46,858",1.69,12.1,0.78,73.1,13.8,7.6,"79,927",-0.1,-645,32.6,10.1,21.9,27.4,31.3,26.6,Asia,UM
994,Bahrain,BH,2021.0,760,"1,526,929",0.9,0.97,"2,009.10","14,786",1.68,12.5,0.83,79.7,10.5,2.8,"4,295",-0.7,"-1,016",58.2,29.1,44.3,46.3,52.5,49.1,Asia,H
995,Bangladesh,BD,2021.0,"130,170","164,098,818",0.95,1.24,"1,260.70","2,040,678",2.1,17.9,1.03,74.4,31.1,5.4,"893,501",-2.9,"-480,958",33.7,5.0,19.95,32.0,20.6,24.0,Asia,LM
996,Belarus,BY,2021.0,"202,900","9,607,168",-0.32,-0.44,47.3,"-42,219",1.44,9,0.7,74.2,2.2,13.4,"128,750",1.2,"11,345",32.1,11.3,22.1,27.8,32.8,33.3,Europe,UM
997,Belgium,BE,2021.0,"30,278","11,778,842",0.59,0.13,389,"15,623",1.77,11,0.86,81.7,3.2,9.7,"114,330",4.6,"53,952",78.7,28.85,54.875,67.375,84.0,79.875,Europe,H
998,Bermuda,BM,2021.0,54,"72,084",0.36,0.21,"1,334.90",149,1.91,11.1,0.93,81.8,2.2,9,651,1.5,111,146.3,89.1,119.0,153.3,145.4,91.2,North America,H
999,Bolivia,BO,2021.0,"1,083,301","11,917,267",1.17,1.27,11,"151,475",2.39,19.1,1.17,72.5,22.3,6.4,"76,594",-1,"-11,759",40.15,12.1,26.75,35.150000000000006,28.25,36.8,South America,LM
1000,Botswana,BW,2021.0,"566,730","2,350,667",1.43,1.15,4.1,"26,982",2.42,20.6,1.19,65.2,26,9.1,"21,444",2.9,"6,700",42.8,11.6,27.9,35.8,48.3,60.1,Africa,UM
1001,Brazil,BR,2021.0,"8,358,140","215,903,281",0.54,0.55,25.8,"1,188,913",1.6,12.5,0.78,75.2,14.1,7,"1,514,110",-0.1,"-26,142",32.19230769230769,8.423076923076923,20.838461538461537,25.361538461538466,23.54615384615385,28.73076923076923,South America,UM
1002,Bulgaria,BG,2021.0,"108,489","6,919,180",-0.67,-0.64,63.8,"-44,115",1.49,8.2,0.72,75.3,8.1,14.5,"100,486",-0.3,"-2,000",41.6,10.075,26.55,35.65,34.025,40.275,Europe,UM
1003,Cambodia,KH,2021.0,"176,515","16,528,811",1.13,1.41,93.6,"232,371",2.28,19.9,1.11,70.3,30.4,5.8,"96,261",-2.7,"-45,114",49.1,17.0,33.8,51.2,24.8,14.5,Asia,LM
1004,Canada,CA,2021.0,"9,093,507","37,943,231",0.77,0.21,4.2,"81,063",1.57,10.2,0.76,83.6,4.4,8.1,"306,480",5.6,"210,660",71.51785714285714,35.05714285714286,54.096428571428575,69.92857142857143,66.62142857142858,89.46071428571429,North America,H
1005,Chile,CL,2021.0,"743,812","18,307,925",0.68,0.65,24.6,"118,095",1.76,12.9,0.86,79.6,6.7,6.5,"118,409",0.3,"6,000",50.6,15.7,33.9,42.5,48.5,33.2,South America,H
1006,China,CN,2021.0,"9,326,410","1,407,098,834",0.3,0.3,150.9,"4,169,164",1.5,10.6,0.71,77.7,6.8,7.7,"10,779,539",0,0,47.35714285714285,23.2,35.84285714285714,52.5,30.7,54.957142857142856,Asia,UM
1007,Colombia,CO,2021.0,"1,038,700","48,757,939",0.64,0.77,46.9,"376,778",1.95,15.4,0.95,74.9,11.7,7.6,"371,685",-1.3,"-63,795",30.96,9.46,20.7,25.76,21.64,27.52,South America,UM
1008,Costa Rica,CR,2021.0,"51,060","5,157,007",0.58,0.43,101,"22,275",1.34,10.5,0.66,77.5,8.5,6.2,"32,015",1.5,"7,529",52.1,16.3,35.0,50.3,41.9,44.1,North America,UM
1009,Croatia,HR,2021.0,"55,974","4,208,973",-0.48,-0.41,75.2,"-17,259",1.44,8.7,0.7,77,8.9,12.8,"53,808",-0.7,"-3,126",60.81666666666666,17.616666666666667,40.15,53.2,54.71666666666667,41.6,Europe,H
1010,Cuba,CU,2021.0,"109,820","11,032,343",-0.23,0.1,100.5,"11,370",1.71,10.3,0.83,79.4,4.2,9.2,"101,681",-3.3,"-36,621",55.3,15.3,36.2,44.8,35.1,1.5,North America,UM
1011,Cyprus,CY,2021.0,"9,241","1,281,506",1.11,0.39,138.7,"4,936",1.48,10.8,0.72,79.5,8.6,6.9,"8,847",7.3,"9,340",64.325,22.075,44.1,53.025,62.225,52.6,Europe,H
1012,Denmark,DK,2021.0,"42,434","5,894,687",0.44,0.17,138.9,"9,823",1.77,11.2,0.86,81.5,3.1,9.5,"56,003",2.7,"16,140",92.675,36.25,65.75,75.275,104.125,90.225,Europe,H
1013,Dominican Republic,DO,2021.0,"48,320","10,585,919",0.67,0.94,219.1,"99,664",2.1,17,1.03,70.3,24.7,7.6,"80,735",-2.7,"-28,711",42.9,11.3,27.8,37.6,34.2,22.9,North America,UM
1014,Ecuador,EC,2021.0,"248,360","17,761,236",1.09,1.15,71.5,"204,961",2.31,18.5,1.13,74.9,11.2,7,"123,592",-0.7,"-11,817",40.56666666666666,12.833333333333334,27.3,36.76666666666667,28.6,30.166666666666668,South America,UM
1015,El Salvador,SV,2021.0,"20,721","6,528,135",0.67,1.23,315,"80,371",2.07,18.2,1.01,75.1,12.4,5.9,"38,589",-5.6,"-36,342",46.7,14.4,31.3,45.9,33.5,21.0,North America,LM
1016,Estonia,EE,2021.0,"42,388","1,220,042",-0.69,-0.4,28.8,"-4,913",1.61,9,0.79,77.6,3.5,13.1,"15,929",-2.9,"-3,476",57.95,17.049999999999997,38.35,45.35,58.9,59.25,Europe,H
1017,Ethiopia,ET,2021.0,"1,096,570","110,408,120",2.2,2.23,100.7,"2,457,004",4.07,31.1,2,61.7,44.4,8.9,"977,440",-0.2,"-26,180",58.9,15.4,38.1,38.5,20.6,10.3,Africa,L
1018,Fiji,FJ,2021.0,"18,274","939,535",0.46,1.06,51.4,"9,955",2.28,16.9,1.11,74,10.3,6.3,"5,925",-6,"-5,659",46.2,17.7,32.6,48.9,37.3,32.9,Oceania,UM
1019,Finland,FI,2021.0,"303,815","5,587,442",0.26,0.02,18.4,901,1.74,10.5,0.85,81.6,2.2,10.3,"57,727",2.5,"13,722",79.47999999999999,28.78,55.260000000000005,70.3,82.17999999999999,91.18,Europe,H
1020,France,FR,2021.0,"640,427","67,945,112",0.22,0.11,106.1,"77,521",1.91,11,0.93,82.3,3.2,9.9,"671,286",1.1,"72,910",80.89999999999999,29.133333333333336,56.16666666666666,76.77499999999999,74.40833333333333,70.50833333333334,Europe,H
1021,Georgia,GE,2021.0,"69,700","4,988,990",-0.68,-0.16,71.6,"-7,956",1.98,12.9,0.96,71.3,24.4,14.5,"72,341",-5.2,"-25,966",28.7,11.1,20.3,24.3,25.9,27.2,Asia,UM
1022,Germany,DE,2021.0,"348,672","84,409,193",-0.11,-0.29,242.1,"-240,719",1.57,9.1,0.76,81.3,3.2,12,"1,012,374",1.8,"150,000",71.71739130434783,30.05652173913043,51.81739130434782,54.61739130434783,67.65217391304348,94.48260869565216,Europe,H
1023,Ghana,GH,2021.0,"227,533","32,372,889",2.26,2.28,142.3,"737,472",3.71,29.1,1.83,69,33.3,6.3,"203,812",-0.2,"-5,430",42.2,21.2,32.2,43.7,31.6,17.6,Africa,LM
1024,Greece,GR,2021.0,"130,647","10,569,703",-0.34,-0.43,80.9,"-45,765",1.39,7.7,0.67,81.3,3.6,12.1,"127,315",1,"10,211",61.35,13.675,38.55,47.325,52.75,40.1,Europe,H
1025,Guatemala,GT,2021.0,"107,159","17,422,821",1.62,1.79,162.6,"311,004",2.67,22.8,1.3,72.6,26.8,4.9,"86,055",-1.7,"-29,364",46.2,15.3,31.5,42.3,33.9,25.4,North America,UM
1026,Hungary,HU,2021.0,"89,608","9,971,543",-0.66,-0.69,111.3,"-69,050",1.59,9.4,0.77,74,5.2,16.3,"162,240",0.4,"3,694",42.63333333333333,13.033333333333331,28.46666666666667,35.9,33.800000000000004,49.36666666666667,Europe,H
1027,Iceland,IS,2021.0,"100,250","354,234",0.97,0.66,3.5,"2,323",1.96,13.1,0.96,83.5,1.7,6.6,"2,324",3.1,"1,094",98.8,48.3,74.7,89.3,111.0,69.8,Europe,H
1028,India,IN,2021.0,"2,973,193","1,380,721,926",0.62,0.6,464.4,"8,259,654",2.13,17.1,1.01,66.8,30.3,11.1,"15,343,236",0.2,"279,829",25.813888888888886,6.097222222222222,16.38888888888889,27.30555555555556,18.077777777777776,47.91944444444445,Asia,LM
1029,Indonesia,ID,2021.0,"1,811,569","275,122,131",0.81,0.89,151.9,"2,434,363",2.04,15.6,1,72.8,20.2,6.7,"1,854,453",-0.7,"-197,782",39.74,12.3,26.64,42.58,20.16,18.42,Asia,LM
1030,Iraq,IQ,2021.0,"437,367","39,650,145",2.06,2.13,90.7,"843,969",3.32,25.2,1.62,72.9,20.1,3.9,"155,490",-0.7,"-26,948",34.55,11.05,23.3,28.35,26.200000000000003,37.6,Asia,UM
1031,Ireland,IE,2021.0,"68,883","5,070,166",0.72,0.5,73.6,"25,388",1.72,11.5,0.84,82.6,3.1,6.5,"33,055",2.2,"11,200",83.5,47.25,66.175,70.05,81.65,70.275,Europe,H
1032,Israel,IL,2021.0,"21,497","8,968,042",1.6,1.4,417.2,"125,759",3,19.7,1.46,81.9,3.1,5.7,"51,211",2,"18,000",87.53333333333335,35.1,62.5,73.60000000000001,93.7,68.89999999999999,Asia,H
1033,Italy,IT,2021.0,"294,140","61,196,793",-0.2,-0.48,208.1,"-294,720",1.2,6.9,0.59,82.1,3.3,11.7,"716,961",2.9,"174,300",73.25294117647059,24.12941176470588,49.77058823529412,63.15882352941177,72.66470588235293,57.53529411764706,Europe,H
1034,Jamaica,JM,2021.0,"10,831","2,816,602",0.06,0.86,260.1,"24,252",2.06,16,1.01,75.5,11.4,7.4,"20,902",-8,"-22,466",55.1,16.9,36.8,57.2,33.7,31.7,North America,UM
1035,Japan,JP,2021.0,"364,485","124,687,293",-0.37,-0.44,342.1,"-553,795",1.38,7,0.67,84.7,1.9,11.4,"1,426,219",0.8,"92,997",91.56666666666666,43.9,68.83333333333333,97.4,49.3,67.36666666666667,Asia,H
1036,Jordan,JO,2021.0,"88,802","10,909,567",0.82,1.94,122.9,"211,155",3,22.8,1.46,75.8,14.3,3.4,"37,507",-11.2,"-121,822",54.8,10.9,33.8,44.4,48.9,31.4,Asia,UM
1037,Kazakhstan,KZ,2021.0,"2,699,700","19,707,245",0.99,1.03,7.3,"202,623",2.6,18.5,1.26,72.5,8.4,8.2,"162,408",-0.4,"-8,088",31.15,10.25,21.15,26.55,28.35,37.75,Asia,UM
1038,Kenya,KE,2021.0,"569,140","54,685,051",2.15,2.17,96.1,"1,186,275",3.36,26.8,1.66,69.3,28.8,5.1,"278,420",-0.2,"-10,691",38.5,12.3,26.0,35.4,32.8,25.4,Africa,LM
1039,Kuwait,KW,2021.0,"17,818","3,032,065",1.2,1.57,170.2,"47,501",2.25,17.9,1.1,78.9,7.6,2.2,"6,776",-3.7,"-11,072",49.4,31.8,41.0,36.6,44.9,65.3,Asia,H
1040,Latvia,LV,2021.0,"62,249","1,862,687",-1.1,-0.57,29.9,"-10,555",1.54,9,0.75,75.7,4.9,14.6,"27,252",-5.3,"-9,909",55.4,15.9,36.5,42.1,52.3,46.7,Europe,H
1041,Lebanon,LB,2021.0,"10,230","5,261,372",0.68,0.78,514.3,"40,961",1.71,13.4,0.83,78.5,7.2,5.6,"29,289",-1,"-5,000",83.6,25.4,55.8,82.1,72.3,24.9,Asia,LM
1042,Lithuania,LT,2021.0,"62,680","2,711,566",-1.04,-0.56,43.3,"-15,262",1.61,9.4,0.78,75.6,3.7,15.1,"40,798",-4.8,"-12,874",49.03333333333333,14.266666666666666,32.4,38.1,46.93333333333334,56.4,Europe,H
1043,Luxembourg,LU,2021.0,"2,586","639,589",1.7,0.44,247.3,"2,785",1.63,11.6,0.79,82.8,3.3,7.3,"4,644",12.7,"8,092",89.6,63.3,77.0,82.0,95.0,100.5,Europe,H
1044,Malaysia,MY,2021.0,"328,657","33,519,406",1.06,0.91,102,"303,687",1.76,14.7,0.85,75.9,6.7,5.7,"189,583",1.5,"50,000",42.08,11.88,27.660000000000004,45.4,23.26,56.24,Asia,UM
1045,Malta,MT,2021.0,316,"460,891",0.75,0.15,"1,458.50",679,1.5,9.8,0.73,83,4.6,8.4,"3,856",6,"2,782",82.9,40.95,62.85,71.3,89.05,35.65,Europe,H
1046,Mexico,MX,2021.0,"1,943,945","128,569,498",0.4,0.47,66.1,"603,526",1.62,13.1,0.79,71.1,11.7,8.4,"1,084,718",-0.8,"-96,216",36.60909090909091,12.8,25.21818181818181,35.13636363636363,31.59090909090909,36.690909090909095,North America,UM
1047,Moldova,MD,2021.0,"32,891","3,563,449",-0.57,-0.67,108.3,"-23,879",1.23,8.4,0.59,69,14.8,15.1,"53,923",1,"3,544",34.1,9.8,22.5,27.0,27.7,27.5,Europe,UM
1048,Mongolia,MN,2021.0,"1,553,556","3,198,913",0.93,1,2.1,"32,119",1.93,16.3,0.94,71.1,20.6,6.3,"20,103",-0.8,"-2,500",33.4,11.1,22.8,33.1,24.0,27.2,Asia,LM
1049,Montenegro,ME,2021.0,"13,452","607,414",-0.4,0.1,45.2,595,1.82,11.4,0.89,77.5,3.3,10.4,"6,297",-5,"-3,005",42.6,12.0,28.0,33.8,32.4,34.8,Europe,UM
1050,Morocco,MA,2021.0,"716,550","36,400,581",0.94,1.11,50.8,"405,548",2.31,17.7,1.13,73.4,19.7,6.6,"239,916",-1.8,"-63,961",39.260000000000005,11.56,26.06,33.96,30.48,29.62,Africa,LM
1051,Mozambique,MZ,2021.0,"786,380","30,888,034",2.58,2.75,39.3,"847,740",4.89,38,2.41,56.5,63,10.6,"327,068",-1.6,"-50,000",37.6,16.1,27.3,29.5,34.7,16.4,Africa,L
1052,Namibia,,2021.0,"823,290","2,669,568",1.6,1.6,3.2,"42,632",3.03,25.3,1.49,61.1,30.2,9.3,"24,867",0,0,41.1,16.2,29.2,38.9,34.1,58.9,Africa,UM
1053,Nepal,NP,2021.0,"143,351","30,424,878",0.81,1.22,212.2,"371,347",1.93,17.8,0.94,72.1,25.7,5.6,"169,607",-4.1,"-125,445",31.2,5.2,18.8,29.1,23.1,20.6,Asia,LM
1054,Netherlands,NL,2021.0,"33,893","17,493,062",0.66,0.04,516.1,"7,704",1.6,10.2,0.78,81.3,3.8,9.8,"170,802",6.2,"108,276",79.82307692307693,38.92307692307692,60.27692307692308,62.07692307692308,82.4923076923077,84.88461538461539,Europe,H
1055,New Zealand,NZ,2021.0,"264,537","4,991,442",1.28,0.59,18.9,"29,537",1.87,12.8,0.91,82.3,3.5,6.9,"34,508",6.9,"34,372",81.2,37.55,60.325,77.4,72.875,84.1,Oceania,H
