,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
225,Georgia,GE,2013.0,"69,700","4,946,331",0.03,0.08,71,"3,823",1.86,13.8,0.89,72.3,22.6,13.1,"64,642",-0.5,"-2,606",55.5,16.4,36.7,46.4,48.2,28.1,Asia,LM
226,Germany,DE,2013.0,"348,672","82,056,877",0.28,-0.25,235.3,"-206,511",1.41,8.3,0.69,80.7,3.4,10.8,"888,580",5.3,"433,386",94.63,36.47,66.7,82.11,82.84,119.49,Europe,H
227,Greece,GR,2013.0,"130,647","10,872,247",-0.57,-0.16,83.2,"-17,660",1.31,8.7,0.64,80.8,3.5,10.3,"111,794",-4.1,"-44,139",90.96666666666664,18.7,56.26666666666667,72.66666666666667,88.93333333333334,46.0,Europe,H
228,Hungary,HU,2013.0,"89,608","9,919,643",-0.22,-0.4,110.7,"-39,152",1.34,9,0.65,75.3,4.9,13,"128,749",1.8,"17,372",63.75,12.35,39.1,52.05,47.35,42.55,Europe,UM
229,Iceland,IS,2013.0,"100,250","323,744",1.29,0.79,3.2,"2,569",2.04,14.1,1,82.9,1.7,6.2,"1,996",4.9,"1,598",111.6,39.1,76.8,115.0,98.0,77.0,Europe,H
230,India,IN,2013.0,"2,973,193","1,267,220,075",1.21,1.24,426.2,"15,649,618",2.37,19.4,1.13,68.6,40.7,7.1,"8,936,228",-0.3,"-321,340",31.915,7.805,20.335,33.15,19.085,62.53,Asia,LM
231,Indonesia,ID,2013.0,"1,811,569","255,144,559",1.12,1.23,140.8,"3,138,124",2.38,19,1.16,70.8,25.2,6.7,"1,713,596",-1.2,"-294,351",57.6,26.3,42.6,62.9,28.9,31.3,Asia,LM
232,Ireland,IE,2013.0,"68,883","4,677,112",0.61,0.84,67.9,"39,450",1.9,14.7,0.93,81.1,3.5,6.3,"29,504",-2.4,"-11,021",113.43333333333334,41.96666666666667,79.16666666666667,108.5,106.9,94.03333333333336,Europe,H
233,Israel,IL,2013.0,"21,497","7,803,834",1.84,1.62,363,"126,502",3.1,21.3,1.51,82.1,3.2,5.1,"39,799",2.2,"16,917",94.06666666666666,34.7,65.56666666666666,77.8,95.73333333333336,72.83333333333333,Asia,H
234,Italy,IT,2013.0,"294,140","61,433,746",0.16,-0.14,208.9,"-86,435",1.31,8.4,0.64,82.3,3.2,9.8,"600,743",3,"181,719",105.71,41.54,74.91,91.56,107.31,67.03999999999999,Europe,H
235,Japan,JP,2013.0,"364,485","127,038,622",-0.14,-0.15,348.5,"-195,009",1.43,8.5,0.7,83.3,2.2,10,"1,269,270",0.1,"14,378",121.7,71.4,97.6,121.8,76.8,85.6,Asia,H
236,Jordan,JO,2013.0,"88,802","7,845,361",18.74,2.08,88.3,"163,349",3.2,24.5,1.55,73.8,17,3.6,"28,486",166.6,"1,307,042",67.9,15.7,42.8,59.9,58.2,38.2,Asia,UM
237,Kazakhstan,KZ,2013.0,"2,699,700","17,820,975",1.42,1.42,6.6,"253,571",2.6,21.9,1.26,71,21.1,7.6,"135,950",0,-280,65.8,26.9,47.1,50.4,68.0,36.4,Asia,UM
238,Kenya,KE,2013.0,"569,140","45,488,358",2.52,2.59,79.9,"1,176,803",4.08,32.1,2.02,65.7,37.6,6.3,"284,315",-0.7,"-29,985",61.1,23.3,43.0,63.3,35.5,28.5,Africa,L
239,Kuwait,KW,2013.0,"17,818","2,695,800",1.79,1.85,151.3,"49,964",2.57,20.6,1.26,77.5,8.6,2.1,"5,628",-0.6,"-1,644",90.5,42.5,67.5,86.4,110.7,57.4,Asia,H
