Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,Continent
United Kingdom,104.56666666666666,42.94444444444444,82.4,88.53333333333333,103.12222222222222,95.19999999999999,2012,Europe
United States,89.79285714285713,48.13928571428572,74.78928571428571,82.19642857142857,73.57857142857142,117.26428571428572,2012,North America
Uruguay,83.6,26.2,62.9,66.7,68.8,30.2,2012,South America
Vietnam,44.45,35.3,41.15,49.400000000000006,27.95,33.0,2012,Asia
Albania,53.6,12.0,33.7,46.3,37.7,32.0,2013,Europe
Angola,152.2,140.4,146.5,174.6,120.3,49.6,2013,Africa
Argentina,70.45,18.3,45.400000000000006,63.9,64.3,51.150000000000006,2013,South America
Armenia,51.3,18.9,35.7,35.2,48.3,21.7,2013,Asia
Australia,130.20999999999998,69.52000000000001,101.1,123.46,118.82000000000001,101.87,2013,Oceania
Austria,92.85,38.05,66.55,86.7,75.5,92.85,2013,Europe
Azerbaijan,78.2,41.9,60.8,67.9,64.8,20.5,2013,Asia
Bahamas,114.8,67.8,92.2,116.8,91.6,110.7,2013,North America
Bahrain,90.5,31.2,62.0,113.4,76.7,72.5,2013,Asia
Bangladesh,48.5,9.6,29.8,45.3,27.2,38.4,2013,Asia
Belarus,51.4,15.1,34.0,42.5,59.2,29.1,2013,Europe
Belgium,113.94999999999999,41.85,79.3,95.5,118.19999999999999,93.0,2013,Europe
Bosnia And Herzegovina,53.85,11.600000000000001,33.55,47.55,40.7,44.45,2013,
Botswana,53.0,16.2,35.3,47.2,37.7,55.8,2013,Africa
Brazil,72.52000000000001,24.66,49.57,55.36,53.86,53.010000000000005,2013,South America
Bulgaria,53.2,12.95,33.900000000000006,46.75,38.55,39.05,2013,Europe
Cambodia,57.9,14.3,37.0,66.3,27.5,15.4,2013,Asia
Canada,100.06875,40.575,71.53125,102.4125,84.6125,107.59375,2013,North America
Chile,68.9,22.9,46.8,57.3,56.6,53.9,2013,South America
China,75.15,34.5,55.65,82.3,46.4,37.05,2013,Asia
Colombia,60.95,17.0,39.85,53.3,40.0,30.35,2013,South America
Costa Rica,70.5,22.4,47.4,77.3,56.0,38.1,2013,North America
