,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
75,Germany,DE,2011,Europe,H,348672,81759269,0.06,-0.24,234.5,-194114,1.37,8.1,0.67,80.6,3.4,10.5,856799,2.9,240378,93.14,38.28,73.44,82.06,74.86,112.06
76,Greece,GR,2011,Europe,H,130647,11017574,-0.44,-0.04,84.3,-4671,1.41,9.7,0.69,80.3,3.2,10.1,111099,-4,-43972,93.1,22.7,67.8,77.1,83.9,46.5
77,Hungary,HU,2011,Europe,H,89608,9972181,-0.28,-0.43,111.3,-42776,1.24,8.6,0.6,74.9,5,12.9,128786,1.5,14638,63.1,26.6,50,62.1,47.4,37.3
78,Iceland,IS,2011,Europe,H,100250,318851,0.35,0.79,3.2,2506,2.03,14.1,0.98,82.4,1.8,6.2,1986,-4.4,-1404,93.3,35.4,72.5,111.7,90,93.8
79,India,IN,2011,Asia,LM,2973193,1236352295,1.26,1.29,415.8,15930829,2.44,20.1,1.16,67.6,44.4,7.2,8940861,-0.3,-391233,33.07,10.65,25.02,31.15,19.75,59.8
80,Indonesia,ID,2011,Asia,LM,1811569,249274297,1.2,1.32,137.6,3291283,2.45,19.9,1.19,70.3,27.2,6.7,1668345,-1.2,-295365,54.1,24.1,43.3,59.5,29.9,24.7
81,Ireland,IE,2011,Europe,H,68883,4630972,0.43,0.98,67.2,45577,2,16,0.98,80.7,3.5,6.1,28456,-5.6,-25757,118.2,56.6,96.1,126.4,112,93.4
82,Israel,IL,2011,Asia,H,21497,7520566,1.84,1.63,349.8,122581,3.07,21.5,1.5,81.7,3.5,5.2,38726,2.1,15834,94.4,28.5,70.7,88.8,79.6,132.6
83,Italy,IT,2011,Europe,H,294140,61092001,0.42,-0.08,207.7,-46842,1.35,9,0.66,81.9,3.3,9.7,593427,5,303332,105.18,47.32,84.4,85.2,115.08,72.8
84,Japan,JP,2011,Asia,H,364485,127491357,-0.19,-0.12,349.8,-158552,1.39,8.6,0.68,82.6,2.5,9.9,1255935,-0.6,-78984,100,77.6,92,89.7,83.3,114
85,Jordan,JO,2011,Asia,UM,88802,6962850,2.35,2.35,78.4,163342,3.51,27.2,1.7,73.4,17.8,3.7,25992,0,0,63.3,19.9,47.7,60.2,45.2,34.2
