,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
399,Belarus,BY,2015,Europe,UM,202900,9678951,0.18,-0.01,47.7,-983,1.69,12.3,0.82,73.9,2.4,12.4,119993,1.9,18494,51.7,19.2,35.8,47.1,58,36.4
400,Belgium,BE,2015,Europe,H,30278,11319441,0.74,0.15,373.9,17194,1.79,11.4,0.87,80.7,3.5,9.9,111750,5.9,66428,85.4,31.17,58.93,78.73,94.83,86.77
401,Bermuda,BM,2015,North America,H,54,70260,0.49,0.31,1301.1,215,1.95,11.3,0.95,81,2.3,8.2,578,1.9,132,163.6,120,142.3,191.7,132.9,69.8
402,Brazil,BR,2015,South America,UM,8358140,206626819,0.88,0.87,24.7,1789137,1.8,14.7,0.88,75.1,14.1,6,1247150,0.1,20778,54.94,18.02,36.91,43.91,44.53,48.42
403,Bulgaria,BG,2015,Europe,UM,108489,7186710,-0.58,-0.56,66.2,-39863,1.45,8.9,0.7,74.4,8.7,14.5,103935,-0.3,-2094,42.67,8.43,25.93,38.7,32.37,38.93
404,Cambodia,KH,2015,Asia,LM,176515,15168983,1.64,1.85,85.9,280499,2.61,24.5,1.28,68.8,34.4,6,91610,-2.1,-31976,64.6,20,42.8,78.8,30.1,22.5
405,Canada,CA,2015,North America,H,9093507,36069803,0.92,0.33,4,118059,1.59,10.6,0.77,83.4,4.5,7.3,264333,5.9,211895,85.32,32.32,59.42,91.13,76.88,102.66
406,Chile,CL,2015,South America,H,743812,17507482,0.81,0.78,23.5,136264,1.82,13.8,0.89,78.6,7.3,6,105026,0.3,6000,55,19.2,37.5,49.6,45.1,53.1
407,China,CN,2015,Asia,UM,9326410,1375727075,0.34,0.36,147.5,4942586,1.33,10.4,0.62,76.9,9.1,6.8,9390781,-0.2,-204000,48.73,25.03,37.15,49.68,37.4,52.42
408,Colombia,CO,2015,South America,UM,1038700,45166122,0.55,1.09,43.5,492706,1.97,16.2,0.96,77.3,13,5.3,237559,-5.4,-245344,39.9,12.9,26.73,36.3,30.8,35.57
409,Costa Rica,CR,2015,North America,UM,51060,4832170,1.27,1.06,94.6,50979,1.81,14.9,0.88,79.4,7.6,4.3,20840,2.1,10230,64.6,22.4,43.9,63.9,55.6,40.7
410,Croatia,HR,2015,Europe,H,55974,4335285,-0.49,-0.28,77.5,-12226,1.38,9,0.67,75.7,9.8,11.9,51370,-2.1,-9206,58.28,11.18,35.28,53.04,45.54,49.4
411,Cuba,CU,2015,North America,UM,109820,11213978,-0.31,0.25,102.1,28353,1.71,11,0.83,78.5,4.4,8.4,94664,-5.6,-63159,55.2,15.5,35.8,37.6,33.9,1.5
412,Cyprus,CY,2015,Europe,H,9241,1189441,1.43,0.48,128.7,5747,1.46,11.4,0.71,78.5,9.6,6.6,7807,9.5,11272,77.87,16.27,47.73,69,83.53,72.33
413,Denmark,DK,2015,Europe,H,42434,5688232,0.85,0.1,134,5650,1.71,10.2,0.83,80.7,3.7,9.2,52555,7.5,42532,98.83,35.5,67.9,86.87,115.8,106.47
414,Dominican Republic,DO,2015,North America,UM,48320,10019060,1.05,1.29,207.3,129172,2.33,19.4,1.14,70.3,25.2,6.5,64751,-2.4,-24356,59.9,16,38.4,58.1,52.2,29
415,Ecuador,EC,2015,South America,UM,248360,16097174,1.34,1.59,64.8,255507,2.53,20.3,1.23,80.2,12,4.4,70901,-2.5,-40626,52.7,18,35.7,53,36,36.9
416,El Salvador,SV,2015,North America,LM,20721,6205387,0.67,1.33,299.5,82402,2.13,19.2,1.04,73.6,13.8,5.9,36735,-6.6,-40854,53.5,10.7,32.6,47.2,39.9,29.3
417,Estonia,EE,2015,Europe,H,42388,1265255,-0.56,-0.2,29.8,-2490,1.59,10.5,0.78,76.4,3.7,12.5,15793,-3.6,-4559,61.7,15.65,39.2,49.95,53.7,52.3
418,Ethiopia,ET,2015,Africa,L,1096570,94627302,2.79,2.73,86.3,2578793,4.49,34.1,2.21,65.1,44.1,6.9,649021,0.6,58826,52,16.9,34.9,48.5,24.7,15.1
419,Finland,FI,2015,Europe,H,303815,5477371,0.41,0.1,18,5328,1.75,10.7,0.86,80.9,2.2,9.7,53376,3.1,16966,88.62,30.67,60.32,80.7,91.4,103.07
420,France,FR,2015,Europe,H,640427,66561235,0.37,0.31,103.9,205361,2.02,12,0.98,82.2,3.3,8.9,593799,0.6,38559,89.56,31.99,61.44,87.74,88.54,87.61
421,Georgia,GE,2015,Asia,UM,69700,4967831,0.3,0.37,71.3,18514,2.31,16.6,1.11,72.8,21.7,12.9,64138,-0.7,-3408,40.2,13.1,26.9,31.6,39.2,26.8
422,Germany,DE,2015,Europe,H,348672,83106944,1.27,-0.22,238.4,-180661,1.5,8.9,0.73,81,3.3,11.1,918236,14.8,1232644,77.61,30,54.34,66.36,72.55,110.49
423,Ghana,GH,2015,Africa,LM,227533,28062643,2.52,2.5,123.3,701042,4.05,32.5,2,66.5,38.9,7.6,212222,0.2,6705,84.1,59.3,72,80.2,62.1,11.5
424,Greece,GR,2015,Europe,H,130647,10728157,-0.61,-0.27,82.1,-29336,1.35,8.6,0.65,80.6,4,11.3,121183,-3.4,-36172,68.5,12.13,40.95,58.15,68.88,50.85
425,Guatemala,GT,2015,North America,LM,107159,15720815,1.86,2.14,146.7,335740,3.1,26.5,1.51,71,30.5,5.2,81452,-2.8,-43234,52.1,15.6,34.2,54,36.1,35.6
426,Hungary,HU,2015,Europe,H,89608,10002058,1.5,-0.42,111.6,-42310,1.44,9.3,0.7,75.3,4.9,13.5,135334,19.2,192234,51.2,10.4,31.2,41.2,40.2,48
427,Iceland,IS,2015,Europe,H,100250,331919,1.21,0.76,3.3,2534,2.02,13.9,0.99,83,1.7,6.3,2081,4.4,1472,105,37.2,71.9,107.9,110.3,66.8
428,India,IN,2015,Asia,LM,2973193,1297588343,1.16,1.18,436.4,15268568,2.3,18.7,1.09,69.5,37.6,6.9,8958160,-0.2,-255612,27.44,6.25,17.08,29.07,17.3,58.32
429,Indonesia,ID,2015,Asia,LM,1811569,260617061,1.01,1.12,143.9,2925028,2.28,18,1.11,71.2,23.4,6.8,1759598,-1.1,-294119,39.47,14.9,27.47,43.43,21.93,25.5
430,Iraq,IQ,2015,Asia,UM,437367,34813806,2.32,2.38,79.6,828518,3.8,28.7,1.85,69.3,24.9,4.9,171909,-0.6,-20906,57.75,22.65,40.6,45.5,53.85,35.3
431,Ireland,IE,2015,Europe,H,68883,4756303,1.03,0.74,69,35409,1.83,13.8,0.9,81.6,3.4,6.3,30127,2.9,13632,90.8,33.97,63.03,84.77,97.73,104.93
432,Israel,IL,2015,Asia,H,21497,8095117,1.81,1.59,376.6,128565,3.12,21.1,1.52,82.1,3.2,5.2,42402,2.2,18000,80.02,26.4,53.82,67.88,84.7,84.16
433,Italy,IT,2015,Europe,H,294140,61512589,-0.05,-0.26,209.1,-161791,1.28,7.9,0.62,82,3.3,10.5,647571,2.2,133123,85.08,28.09,57.24,73.97,93.15,75.78
434,Jamaica,JM,2015,North America,UM,10831,2815763,-0.08,0.92,260,25993,2.12,16.9,1.03,73.6,13.6,7.7,21603,-10.1,-28287,72,20.4,46.8,64.5,48.1,48.5
435,Japan,JP,2015,Asia,H,364485,126656703,-0.13,-0.21,347.5,-264755,1.45,8.2,0.71,83.8,2.1,10.3,1305164,0.8,94438,81,33.55,57.8,80.95,56.65,101.15
436,Jordan,JO,2015,Asia,UM,88802,9677380,5.4,2.02,109,195652,3.17,23.7,1.54,74.3,16.3,3.4,33189,33.8,326761,62.6,16.5,40.1,52.6,59.5,39.1
437,Kazakhstan,KZ,2015,Asia,UM,2699700,18329222,1.38,1.46,6.8,266740,2.65,21.7,1.28,72.4,16.8,7.1,130675,-0.7,-13466,56.8,20.4,39,46.1,61.9,47.2
438,Kenya,KE,2015,Africa,LM,569140,47824362,2.42,2.42,84,1156178,3.83,30.1,1.9,66.7,35.7,5.9,281005,0.1,2534,54.3,19.3,37.2,54.7,38.9,30.6
439,Latvia,LV,2015,Europe,H,62249,1986717,-1.05,-0.43,31.9,-8622,1.5,10,0.73,74.3,5.4,14.3,28488,-6.2,-12298,57.7,13.7,36.2,45.8,48.3,43.1
440,Lebanon,LB,2015,Asia,UM,10230,6179654,0.85,0.96,604.1,59534,1.73,14.5,0.84,77.4,8,4.9,30287,-1.1,-6794,69.9,33.9,52.3,53.9,73.5,46.8
441,Libya,LY,2015,Africa,UM,1759540,6227706,1.98,2.11,3.5,131178,3.39,27.1,1.65,69.9,15.6,6,37414,-1.2,-7683,56.6,25.9,41.6,59,52.4,44.6
442,Lithuania,LT,2015,Europe,H,62680,2884632,-1.03,-0.42,46,-12059,1.59,10.1,0.77,74.6,3.8,14.3,41188,-6.1,-17585,53.8,12.7,33.7,44.45,38.8,44.3
443,Luxembourg,LU,2015,Europe,H,2586,570327,2.14,0.43,220.5,2430,1.61,11.4,0.78,82.4,3.4,7.1,4052,17.2,9784,90.6,62.2,76.7,77.4,109.6,127.1
444,Malaysia,MY,2015,Asia,UM,328657,31241608,1.33,1.17,95.1,365350,2.03,16.7,0.98,75.5,6.8,5,155786,1.6,50000,48.28,14.46,31.76,48.66,27.04,69.5
445,Maldives,MV,2015,Asia,UM,298,392899,-0.11,1.16,1318.5,4565,1.74,15.5,0.85,75.4,30.2,3.8,1506,-12.7,-4985,67.1,33,50.4,70,44.1,26.6
446,Malta,MT,2015,Europe,H,316,434537,1.16,0.2,1375.1,882,1.45,10,0.71,81.9,5.2,7.9,3443,9.6,4176,69.7,20.9,45.8,59.5,82.5,80.2
447,Mexico,MX,2015,North America,UM,1943945,122200093,1.15,1.24,62.9,1510478,2.1,17.9,1.02,74.7,13.9,5.5,671908,-0.8,-100387,43.65,13.58,28.95,43.57,34.58,78.23
448,Moldova,MD,2015,Europe,LM,32891,3847644,-0.86,-0.3,117,-11558,1.22,9.9,0.59,69.3,14.5,13,49821,-5.6,-21443,34.9,7.8,21.7,29.9,28.5,23.9
449,Mongolia,MN,2015,Asia,LM,1553556,2992282,1.3,1.39,1.9,41521,2.18,20.2,1.06,69.3,23.4,6.3,18977,-0.8,-2500,52.6,27.9,40.5,53.3,35.1,23.4
450,Montenegro,ME,2015,Europe,UM,13452,619723,-0.24,0.17,46.1,1057,1.77,11.9,0.84,76.5,2.2,10.2,6329,-4.2,-2569,48.3,11.3,30.2,38.9,41.6,40.3
451,Morocco,MA,2015,Africa,LM,716550,34207410,1.13,1.32,47.7,451230,2.45,19.9,1.19,71.8,22.7,6.7,227617,-1.9,-64286,42.5,18.6,30.8,39,31.4,40.7
452,Mozambique,MZ,2015,Africa,L,786380,26386824,2.63,2.81,33.6,741756,5.27,41,2.59,52.9,75.3,12.9,340134,-1.8,-48600,68.8,47.6,58.4,54.9,69.9,39.4
453,Namibia,,2015,Africa,UM,823290,2388566,2.01,2.01,2.9,48069,3.43,28.4,1.69,63.3,37.4,8.2,19638,0,0,54.1,23,38.9,50.1,46.4,42.7
454,Nepal,NP,2015,Asia,L,143351,28645436,1.18,1.42,199.8,406286,2.23,20.3,1.08,69.6,33,6.1,173989,-2.4,-69571,30.7,4.3,17.8,30.2,20.8,19.4
455,Netherlands,NL,2015,Europe,H,33893,16897098,0.46,0.14,498.5,23376,1.67,10.1,0.81,81.4,3.2,8.7,147134,3.3,55106,85.97,35.89,61.51,66.76,99.89,105.07
456,New Zealand,NZ,2015,Oceania,H,264537,4525113,1.91,0.65,17.1,29463,2.06,13.5,1,81.6,3.8,7,31608,12.6,57128,94.48,37.38,66.6,92.95,89.55,84.9
457,Nicaragua,NI,2015,North America,LM,119990,6054280,1.27,1.46,50.5,88651,2.07,19.2,1.01,73.9,18.2,4.6,27828,-2,-11877,51.1,8.5,30.3,43.8,32.2,23.1
458,Nigeria,NG,2015,Africa,LM,910768,188830820,2.45,2.59,207.3,4883538,5.05,36.4,2.45,57.5,69,10.5,1980977,-1.4,-257399,62.3,27.1,45.1,57.8,52.8,36.2
459,North Macedonia,MK,2015,Europe,UM,25433,2105107,0.26,0.12,82.8,2614,1.47,11,0.71,75.3,8.4,9.7,20461,1.4,2860,42,9.6,26.2,35,33.4,34.8
460,Norway,NO,2015,Europe,H,304282,5192607,0.93,0.35,17.1,18331,1.74,11.4,0.85,82.3,2.3,7.8,40727,5.7,29802,121.38,54.3,88.62,113.22,139.82,103.38
461,Oman,OM,2015,Asia,H,309500,3279258,2.06,2.1,10.6,68919,2.85,24.4,1.39,75.2,16.6,3.4,11052,-0.5,-1509,57.9,32.9,45.7,53,49.8,106.1
462,Pakistan,PK,2015,Asia,LM,770875,210462259,2.11,2.32,273,4871317,3.99,30,1.95,67.4,63.9,6.8,1433999,-2.1,-439411,32.08,5.75,19.2,31.15,24.83,33.98
463,Panama,PA,2015,North America,UM,74340,3783321,1.85,1.5,50.9,56597,2.59,20.1,1.26,78.2,13.2,5.1,19321,3.5,13232,61.1,35.3,48.5,64.6,55.9,38.2
464,Papua New Guinea,PG,2015,Oceania,LM,452860,8057405,2.64,2.64,17.8,212440,4.37,32.5,2.13,67.1,39.8,6.2,49672,0,0,105.9,103.6,104.7,118.3,66.3,8.1
465,Peru,PE,2015,South America,UM,1279996,30056046,0.38,1.44,23.5,432137,2.43,19.8,1.19,76.4,12.2,5.4,161443,-10.6,-318293,54.7,21.1,38.3,50.2,37.5,29.8
466,Philippines,PH,2015,Asia,LM,298170,101817421,1.64,1.76,341.5,1790415,2.9,23.2,1.42,70.6,23,5.6,573740,-1.1,-116137,43.63,16.38,30.33,44.2,24.8,30.65
467,Poland,PL,2015,Europe,H,304255,38541785,-0.11,-0.07,126.7,-26800,1.29,9.5,0.63,77.5,4.5,10.2,392066,-0.4,-15800,44.34,14.11,29.57,36.28,37.4,61.78
468,Portugal,PT,2015,Europe,H,91470,10433546,-0.32,-0.22,114.1,-23039,1.31,8.2,0.64,80.5,3,10.4,108539,-1,-10481,57.17,18.2,38.13,45.53,49.27,57.9
469,Puerto Rico,PR,2015,North America,H,8869,3472858,-1.78,0.08,391.6,2883,1.32,8.9,0.64,80.5,6.7,8.1,28108,-18.7,-64757,78,26,52.6,81.2,69.6,107.5
470,Qatar,QA,2015,Asia,H,11586,2196122,3.08,0.85,189.5,18630,1.92,9.9,0.95,78.5,7.4,1.4,3128,22.3,48995,74,75.5,74.7,65,78.2,114.6
471,Romania,RO,2015,Europe,UM,229891,19873138,-0.77,-0.29,86.4,-56802,1.64,10.4,0.8,75.2,7.8,13.2,262981,-4.8,-95377,42.63,9.57,26.44,37.31,33.81,39.36
472,Saudi Arabia,SA,2015,Asia,H,2149690,31415279,1.91,1.41,14.6,444243,2.23,17.3,1.09,75,14.3,3.2,99871,5,156156,58.43,16.77,38.07,61.97,35.43,109.17
473,Serbia,RS,2015,Europe,UM,77474,7052916,-0.54,-0.54,91,-38021,1.44,9.3,0.69,74.6,5.9,14.7,103678,0,0,40.83,7.4,24.5,33.67,31.47,37.83
474,Singapore,SG,2015,Asia,H,709,5512966,1.17,0.72,7775.7,39552,1.24,10.7,0.6,84.7,1.7,3.6,19669,4.5,25000,97.9,91.6,94.8,88.4,64.3,73.2
475,Slovenia,SI,2015,Europe,H,20151,2099131,0.06,0.04,104.2,807,1.56,9.8,0.76,80.8,1.6,9.5,19834,0.2,507,65.1,18.9,42.5,55.7,55,68.7
476,South Africa,ZA,2015,Africa,UM,1214470,54726254,1.21,1.33,45.1,727344,2.43,21.1,1.2,68,26.9,7.8,427645,-1.2,-65533,45.3,17.08,31.52,40.44,40.32,102.94
477,Spain,ES,2015,Europe,H,498980,46117462,-0.01,-0.01,92.4,-2278,1.39,9.1,0.67,82.3,2.7,9.2,422568,0,-1761,67.09,22.16,45.13,56.36,66.41,74.44
478,Sri Lanka,LK,2015,Asia,LM,64630,20899161,1.15,0.96,323.4,200224,2.22,16.1,1.09,75.9,7.6,6.5,135873,1.9,39366,43.7,12.9,28.6,52.6,24.6,27.3
479,Sudan,SD,2015,Africa,LM,1861484,39395587,2.9,2.78,21.2,1095481,5.04,35.1,2.46,64.7,48.9,7.3,288978,1.2,46310,52.3,15.1,34.1,52,35.8,51.3
480,Sweden,SE,2015,Europe,H,410335,9838542,1.04,0.24,24,23905,1.83,11.7,0.88,82.2,2.5,9.2,90907,8,78410,82.93,31.47,57.77,80.07,84.53,116.97
481,Switzerland,CH,2015,Europe,H,39997,8282143,0.83,0.23,207.1,18953,1.53,10.5,0.74,82.8,3.8,8.2,67606,6,49364,129.22,59.57,95.18,131.45,134.12,141.92
482,Tajikistan,TJ,2015,Asia,LM,141510,8525261,2.6,2.66,60.2,226414,3.8,32.1,1.85,69.5,30.8,5.6,47467,-0.6,-4820,42,14.1,28.4,39.1,31.5,20.1
483,Tanzania,TZ,2015,Africa,L,885800,51891917,3.29,3.06,58.6,1585577,4.92,37.2,2.42,65.7,41.5,6.7,346389,2.4,123364,62.8,35.7,49.6,62.1,43.8,25.4
484,Thailand,TH,2015,Asia,UM,510890,68067372,0.43,0.38,133.2,259398,1.53,11,0.74,75.6,7.6,7.2,491719,0.5,35882,52.27,18.3,35.7,56.37,27.2,35.17
485,Tunisia,TN,2015,Africa,LM,155360,11161137,1.13,1.33,71.8,148261,2.34,19.6,1.14,75.2,13.8,6.3,70731,-2,-21947,35.5,9.2,22.7,34.2,25.7,34.4
486,Uganda,UG,2015,Africa,L,197100,36111900,3.33,3.81,183.2,1375105,5.98,44.5,2.95,65.6,39,6.4,231177,-4.7,-171109,62.6,9.8,36.8,69.3,33.1,20.7
487,Ukraine,UA,2015,Europe,LM,579330,44409198,-0.65,-0.43,76.7,-188546,1.52,10.7,0.74,71.2,8.4,14.9,661865,-2.3,-100000,41.47,13.58,27.83,35.22,36.75,26.55
488,United Arab Emirates,AE,2015,Asia,H,83600,9308415,1.4,0.92,111.3,85632,1.64,10.5,0.8,78.2,5.8,1.3,11696,4.8,44547,65.47,60.43,63.03,60.47,59.6,105.13
489,United Kingdom,GB,2015,Europe,H,241930,64868357,0.8,0.28,268.1,184151,1.85,12,0.9,81,3.9,9.1,593006,5.1,332269,93.77,38.77,66.9,86.04,98.18,93.03
490,United States,US,2015,North America,H,9151125,320738994,0.74,0.39,35,1265867,--,12.4,--,--,--,8.5,2712630,3.2,1021684,81.1,40.74,61.38,87.27,73.21,121.05
491,Uruguay,UY,2015,South America,H,175015,3344293,0.27,0.36,19.1,12143,1.82,13,0.89,77.1,9.3,9.4,31469,-0.9,-3000,67.4,21.5,45,59.9,63.2,46.4
492,Uzbekistan,UZ,2015,Asia,LM,425400,31081613,1.78,1.87,73.1,582106,2.52,23.6,1.21,74.7,20.4,4.9,152035,-0.9,-29300,58.3,13.6,36.5,50.8,53.2,21.8
493,Vietnam,VN,2015,Asia,LM,310070,96197851,1.21,1.24,310.2,1194740,2.1,18,0.99,74.4,16.7,5.6,537898,-0.3,-28636,44.45,14.95,30.05,39.65,24,24.75
494,Zimbabwe,ZW,2015,Africa,L,386847,14072188,1.94,2.55,36.4,358683,3.91,34.3,1.93,62,42.2,8.8,124299,-6.1,-85124,69.2,21.8,46,62,54.7,30.4
495,Albania,AL,2016,Europe,UM,27398,3045854,0.31,0.64,111.2,19543,1.51,13,0.72,78.8,11.6,6.6,20037,-3.3,-10000,35.6,9.2,22.9,28,30.2,41.2
496,Algeria,DZ,2016,Africa,UM,2381740,40652703,2.11,2.21,17.1,898671,3.18,26.3,1.55,77.4,21.5,4.1,168329,-1,-41254,32.2,10.2,21.6,33.6,24.1,48.7
497,Argentina,AR,2016,South America,UM,2736690,43886223,0.93,0.94,16,413566,2.28,16.9,1.1,77.1,10.4,7.5,330076,-0.1,-4356,67.8,21.2,45.4,54.2,67.3,73.8
498,Armenia,AM,2016,Asia,LM,28203,3051140,-0.18,0.39,108.2,11852,1.64,13.3,0.77,74.6,13.9,9.4,28645,-5.7,-17468,36.7,10.7,24.2,28.6,31.4,34.4
499,Australia,AU,2016,Oceania,H,7682300,23980152,1.65,0.64,3.1,152607,1.83,13,0.89,82.4,3.2,6.6,158497,10.2,243830,79.23,39.92,60.35,78.25,76.5,140.43
500,Austria,AT,2016,Europe,H,82445,8710175,0.51,-0.01,105.6,-880,1.47,9.5,0.71,81.5,3.4,9.6,83226,5.2,44849,66.37,25.43,46.67,60.47,63.4,127.63
501,Azerbaijan,AZ,2016,Asia,UM,82629,10124248,1.1,1.09,122.5,110116,2.04,16.9,0.95,75,11,6,60922,0.2,1522,30.7,11.5,21.5,26.1,31.1,40.4
502,Bahrain,BH,2016,Asia,H,760,1378755,2.33,1.07,1814.2,14784,1.76,13.4,0.87,78.9,11.4,2.7,3731,12.6,17354,49.3,31.3,40.7,44.4,56.8,107.5
503,Bangladesh,BD,2016,Asia,LM,130170,156085586,1.05,1.36,1199.1,2121326,2.19,18.9,1.07,73.2,35.1,5.3,828768,-3.1,-480958,38.6,6.6,23.2,35.1,23.3,43.2
504,Belarus,BY,2016,Europe,UM,202900,9690871,0.07,-0.02,47.8,-1611,1.7,12.2,0.82,74.2,2.6,12.3,119364,0.8,7940,40.5,14.9,28.2,33,49.6,40.1
505,Belgium,BE,2016,Europe,H,30278,11401905,0.71,0.15,376.6,16956,1.78,11.4,0.87,80.8,3.4,9.9,112481,5.6,64349,78.33,27.33,53.87,73.57,83.83,107.97
506,Bermuda,BM,2016,North America,H,54,70601,0.47,0.29,1307.4,205,1.94,11.3,0.95,81.1,2.3,8.4,591,1.8,128,132.3,120.9,126.8,128.6,120.4,118.9
507,Brazil,BR,2016,South America,UM,8358140,208323342,0.76,0.77,24.9,1609666,1.7,13.8,0.83,75.4,13.4,6.1,1263443,-0.1,-26536,39.23,12.43,26.36,30.69,31.82,51.51
508,Bulgaria,BG,2016,Europe,UM,108489,7144269,-0.6,-0.57,65.9,-40851,1.46,8.8,0.71,74.5,8.7,14.5,103603,-0.3,-2074,35.47,7.93,22.23,30.87,26.57,61
509,Cambodia,KH,2016,Asia,LM,176515,15416146,1.59,1.8,87.3,277779,2.58,24,1.26,69.1,33.3,6,91907,-2.1,-31976,53.3,18.4,36.5,58.2,25.8,20
510,Canada,CA,2016,North America,H,9093507,36404804,0.93,0.31,4,113691,1.58,10.5,0.77,83.5,4.5,7.4,269411,6.2,226358,65.92,25.81,46.65,66.57,60.04,132.63
511,Chile,CL,2016,South America,H,743812,17648507,0.79,0.76,23.7,133786,1.81,13.7,0.89,78.7,7.2,6.1,107255,0.3,6000,43.2,13,28.7,38.4,32.1,92.7
512,China,CN,2016,Asia,UM,9326410,1382148409,0.59,0.6,148.2,8302081,1.66,12.9,0.78,77.1,8.5,6.9,9543077,-0.1,-198000,53.15,35.35,44.63,58.98,33.93,96.15
513,Colombia,CO,2016,South America,UM,1038700,45425599,0.6,1.08,43.7,489759,1.97,16.1,0.96,77.7,12.6,5.3,239486,-4.8,-218167,29.57,8.93,19.63,25.8,21.5,46.83
514,Costa Rica,CR,2016,North America,UM,51060,4894270,1.29,1,95.9,48830,1.75,14.3,0.86,79.8,7.3,4.3,21174,2.9,14161,60.4,19.5,40.7,61.3,48.9,60.8
515,Croatia,HR,2016,Europe,UM,55974,4313911,-0.49,-0.3,77.1,-13122,1.39,9,0.68,75.9,9.7,12,51913,-1.9,-8193,48.28,9.6,29.65,40.98,36.55,63.9
516,Cyprus,CY,2016,Europe,H,9241,1205878,1.38,0.47,130.5,5694,1.46,11.3,0.71,78.6,9.4,6.6,7977,9.1,10951,60.23,12.93,37.5,51.17,61.23,92.53
517,Denmark,DK,2016,Europe,H,42434,5733361,0.73,0.15,135.1,8790,1.79,10.8,0.87,80.8,3.2,9.2,52824,5.8,33287,83.1,28.05,56.63,68.75,96.23,136.95
518,Dominican Republic,DO,2016,North America,UM,48320,10123067,1.02,1.27,209.5,128424,2.31,19.2,1.13,70.6,24.7,6.5,65823,-2.5,-25227,55.1,15.4,36,50.2,43.6,26.6
519,Ecuador,EC,2016,South America,UM,248360,16309320,1.28,1.56,65.7,254777,2.49,20,1.22,80.8,11.9,4.3,70783,-2.8,-45366,47.93,13.1,31.17,48.23,31.3,47.9
520,El Salvador,SV,2016,North America,LM,20721,6248359,0.71,1.33,301.5,82795,2.12,19.2,1.04,73.9,13.5,5.9,36998,-6.2,-38397,42.9,10.1,27.1,39.2,30.4,42.5
521,Estonia,EE,2016,Europe,H,42388,1258272,-0.55,-0.23,29.7,-2867,1.6,10.3,0.78,76.6,3.7,12.6,15866,-3.2,-4050,49,12.95,31.7,39.35,45.45,80.4
522,Ethiopia,ET,2016,Africa,L,1096570,97276892,2.74,2.7,88.7,2622141,4.42,33.6,2.18,65.6,42.3,6.7,646495,0.4,39420,45.4,21.5,33.9,41.2,24.2,18.8
523,Finland,FI,2016,Europe,H,303815,5499022,0.38,0.08,18.1,4583,1.75,10.7,0.85,81,2.2,9.9,54269,3,16426,74.58,26.18,51.32,64.33,77.95,128.98
524,France,FR,2016,Europe,H,640427,66809791,0.38,0.29,104.3,190252,1.98,11.7,0.97,82.5,3.2,8.9,593265,0.9,62943,74.23,25.81,50.96,68.69,73.94,119.33
525,Georgia,GE,2016,Asia,LM,69700,4978150,0.11,0.27,71.4,13593,2.24,15.9,1.08,72.6,22.1,13.2,65461,-1.6,-8060,29.6,11.4,20.8,25.6,27,30.8
526,Germany,DE,2016,Europe,H,348672,83823029,0.45,-0.14,240.4,-115903,1.59,9.5,0.78,81.4,3.2,10.8,908044,5.9,496090,67.44,25.2,47.14,54.91,62.24,149.26
527,Ghana,GH,2016,Africa,LM,227533,28769102,2.45,2.42,126.4,695769,3.93,31.5,1.93,67,37.4,7.3,210145,0.3,9401,70.1,57.2,63.9,64.2,49.4,16.1
528,Greece,GR,2016,Europe,H,130647,10703982,0.16,-0.27,81.9,-28595,1.4,8.7,0.68,80.8,3.8,11.4,121493,4.3,45755,52.46,8.86,31.52,43,54.68,95.28
529,Guatemala,GT,2016,North America,LM,107159,16007802,1.76,2.08,149.4,332336,3.02,25.9,1.48,71.3,29.9,5.1,82162,-3.2,-50868,45.3,13.9,30.2,41.1,35,53.1
530,Hungary,HU,2016,Europe,H,89608,10078984,0.04,-0.39,112.5,-39227,1.49,9.4,0.73,75.7,4.7,13.3,133897,4.3,43154,42.3,10.6,27.05,34.2,30.15,53.6
531,Iceland,IS,2016,Europe,H,100250,335881,1.17,0.75,3.4,2510,2.01,13.8,0.98,83,1.7,6.3,2124,4.2,1410,97,38.2,68.7,93.5,95.5,97.1
532,India,IN,2016,Asia,LM,2973193,1312486077,1.13,1.15,441.4,15034634,2.26,18.3,1.07,70,36.1,6.9,8990277,-0.2,-252121,25.15,6,15.94,25.95,16.31,77.18
533,Indonesia,ID,2016,Asia,LM,1811569,263204105,0.97,1.07,145.3,2818763,2.23,17.5,1.09,71.5,22.5,6.8,1783609,-1.1,-275585,35.96,12.1,24.5,39.68,19.78,36.34
534,Iraq,IQ,2016,Asia,UM,437367,35580015,2.04,2.33,81.4,829670,3.72,28.1,1.81,69.7,24,4.8,171006,-3,-104863,56.9,20.1,39.2,43.1,49.15,50.6
535,Ireland,IE,2016,Europe,H,68883,4808974,1.17,0.69,69.8,33174,1.79,13.3,0.87,81.7,3,6.4,30667,4.8,23129,75.43,35.57,56.3,65.03,78.13,134.03
536,Israel,IL,2016,Asia,H,21497,8242458,1.8,1.58,383.4,130117,3.11,20.9,1.52,82.4,3.1,5.1,42284,2.2,18000,76.3,27.45,52.8,64.08,80.73,104.78
